344	505	649
349	506	706
356	508	763
362	510	821
370	512	878
378	514	936
346	559	153
346	559	170
346	559	197
347	559	234
349	560	278
351	560	326
353	561	378
355	561	431
359	562	485
362	563	540
367	564	596
371	566	652
377	567	709
382	569	766
389	570	823
395	572	881
403	574	938
377	621	174
377	621	189
378	621	214
379	621	248
380	622	289
382	622	336
384	623	386
386	623	437
389	624	491
392	625	545
396	626	601
401	627	656
405	628	713
411	629	769
416	631	826
423	633	883
429	634	941
410	683	195
410	683	208
410	683	231
411	684	262
412	684	302
414	684	346
415	685	394
418	685	445
420	686	497
423	687	551
427	687	606
431	688	661
435	689	717
440	691	773
445	692	830
451	693	886
457	695	943
443	745	216
443	745	228
443	746	248
444	746	278
445	746	315
446	746	357
448	747	404
450	747	453
452	748	505
455	748	557
458	749	611
462	750	666
466	751	721
471	752	777
475	753	833
481	755	890
486	756	947
476	808	237
476	808	248
477	808	266
477	808	294
478	808	329
480	808	369
481	809	414
483	809	462
485	810	513
488	810	564
491	811	618
494	812	672
498	813	726
502	814	782
506	815	838
511	816	894
516	817	950
510	870	257
510	870	268
511	870	285
511	870	310
512	870	343
513	870	382
515	871	425
516	871	472
518	872	521
521	872	572
523	873	624
527	873	678
530	874	732
534	875	787
538	876	842
542	877	898
547	878	954
545	932	278
545	932	288
545	932	303
546	932	327
546	932	359
547	933	396
549	933	437
550	933	482
552	934	530
554	934	580
557	935	632
560	935	684
563	936	738
566	937	792
570	938	847
574	939	903
579	940	958
579	994	299
579	994	308
580	994	323
580	994	345
581	995	374
582	995	410
583	995	450
584	995	494
586	996	540
588	996	589
590	997	640
593	997	691
596	998	744
599	999	798
603	1000	853
607	1000	908
611	1001	963
221	28	10
222	29	61
222	31	115
224	34	172
226	38	230
229	44	288
233	51	346
237	59	404
242	67	462
248	76	520
255	85	579
262	94	637
270	104	695
278	114	754
287	124	812
297	135	870
